U Distrito,Partido candidato de la coalición,Estado,Numero distrito,Cabecera Distrital,MEDIA,RANGO MENOR,RANGO MAYOR,PROBABILIDAD FINAL
E15D25,PRI,MÉXICO,25,CHIMALHUACAN,0.180112620,0.035302878,0.352664071,0.03%
E5D4,ES,COAHUILA,4,SALTILLO,0.061555715,0,0.171052039,0.03%
E9D22,PRI,CIUDAD DE MÉXICO,22,IZTAPALAPA,0.224186360,0.092111996,0.381562672,0.03%
E14D3,PVEM,JALISCO,3,TEPATITLAN DE MORELOS,0.085351947,0,0.221388455,0.03%
E15D36,PVEM,MÉXICO,36,TEJUPILCO DE HIDALGO,0.057585828,0,0.207018588,0.02%
E32D4,PVEM,ZACATECAS,4,GUADALUPE,0.069188594,0,0.227457485,0.02%
E15D18,PAN,MÉXICO,18,HUIXQUILUCAN DE DEGOLLADO,0.232415404,0.184321830,0.289722433,0.02%
E8D8,PAN,CHIHUAHUA,8,CHIHUAHUA,0.281200980,0.240363242,0.329862146,0.02%
E29D1,PAN,TLAXCALA,1,APIZACO,0.322840729,0.226383497,0.437776611,0.02%
E21D9,PAN,PUEBLA,9,HEROICA PUEBLA DE ZARAGOZA,0.294801967,0.190826892,0.418695910,0.02%
E12D6,MC,GUERRERO,6,CHILAPA,0.106918059,0,0.233617023,0.02%
E5D3,ES,COAHUILA,3,MONCLOVA,0.053919526,0,0.190823731,0.02%
E15D12,PRI,MÉXICO,12,IXTAPALUCA,0.146870861,0,0.300071925,0.02%
E2D1,PAN,BAJA CALIFORNIA,1,MEXICALI,0.258538916,0.131730202,0.409640819,0.02%
E25D4,PVEM,SINALOA,4,GUASAVE,0.060356623,0,0.275634615,0.02%
E22D5,PVEM,QUERÉTARO,5,EL PUEBLITO,0.071115599,0,0.175444281,0.01%
E15D28,PVEM,MÉXICO,28,ZUMPANGO DE OCAMPO,0.083580074,0,0.252055024,0.01%
E5D2,ES,COAHUILA,2,SAN PEDRO,0.057268963,0,0.193190314,0.01%
E20D5,PRI,OAXACA,5,SALINA CRUZ,0.154044007,0,0.341843108,0.01%
E15D23,PRI,MÉXICO,23,LERMA DE VILLADA,0.163718143,0.062630046,0.284172041,0.01%
E11D3,MORENA,GUANAJUATO,3,LEON,0.189649275,0.169955018,0.213116429,0.01%
E15D6,PRD,MÉXICO,6,COACALCO DE BERRIOZABAL,0.288447018,0.196788023,0.397665447,0.01%
E11D5,PVEM,GUANAJUATO,5,LEON,0.071063104,0.018998057,0.133102434,0.01%
E24D2,MC,SAN LUIS POTOSÍ,2,SOLEDAD DE GRACIANO SANCHEZ,0.091147877,0,0.188544424,0.01%
E30D14,PRD,VERACRUZ,14,MINATITLAN,0.273246524,0.145518858,0.425443426,0.01%
E14D2,PVEM,JALISCO,2,LAGOS DE MORENO,0.090150165,0,0.222832416,0.01%
E19D1,MC,NUEVO LEÓN,1,SANTA CATARINA,0.129759396,0.089920036,0.177230922,0.01%
E9D14,PRD,CIUDAD DE MÉXICO,14,TLALPAN,0.296381734,0.210205261,0.399067336,0.01%
E12D2,PVEM,GUERRERO,2,IGUALA,0.077734240,0,0.219779480,0.01%
E31D5,ES,YUCATÁN,5,TICUL,0.030321491,0,0.148083219,0.01%
E15D18,PVEM,MÉXICO,18,HUIXQUILUCAN DE DEGOLLADO,0.065949658,0,0.209663150,0.01%
E5D1,ES,COAHUILA,1,PIEDRAS NEGRAS,0.049917851,0,0.150044743,0.00%
E24D2,RSP,SAN LUIS POTOSÍ,2,SOLEDAD DE GRACIANO SANCHEZ,0.079226301,0,0.180635547,0.00%
E15D20,MC,MÉXICO,20,CD. NEZAHUALCOYOTL,0.074190383,0,0.260167144,0.00%
E7D8,RSP,CHIAPAS,8,COMITAN DE DOMINGUEZ,0.066133362,0,0.275453999,0.00%
E8D1,PRD,CHIHUAHUA,1,JUAREZ,0.245341993,0.147922939,0.361423956,0.00%
E5D6,PAN,COAHUILA,6,TORREON,0.193904563,0.133061729,0.266403271,0.00%
E16D2,MC,MICHOACÁN,2,PURUANDIRO,0.069732221,0,0.172467453,0.00%
E2D5,PAN,BAJA CALIFORNIA,5,TIJUANA,0.236330111,0.131180900,0.361623124,0.00%
E22D4,PVEM,QUERÉTARO,4,SANTIAGO DE QUERETARO,0.062383936,0,0.197822716,0.00%
E7D3,PRD,CHIAPAS,3,OCOSINGO,0.119589786,0,0.265245103,0.00%
E13D7,PRI,HIDALGO,7,TEPEAPULCO,0.199892548,0.086782657,0.334671297,0.00%
E26D4,PVEM,SONORA,4,GUAYMAS,0.058813984,0,0.241314489,0.00%
E9D7,PRD,CIUDAD DE MÉXICO,7,GUSTAVO A. MADERO,0.267975878,0.185271520,0.366524198,0.00%
E21D6,PRI,PUEBLA,6,HEROICA PUEBLA DE ZARAGOZA,0.277076501,0.174144114,0.399728005,0.00%
E7D2,RSP,CHIAPAS,2,BOCHIL,0.073846566,0,0.271359192,0.00%
E19D4,PVEM,NUEVO LEÓN,4,SAN NICOLAS DE LOS GARZA,0.045389473,0,0.144003287,0.00%
E12D7,PVEM,GUERRERO,7,CHILPANCINGO,0.085721746,0,0.244604578,0.00%
E16D11,MC,MICHOACÁN,11,PATZCUARO,0.076301708,0,0.180464536,0.00%
E9D13,PRD,CIUDAD DE MÉXICO,13,IZTACALCO,0.299449461,0.216995273,0.397699686,0.00%
E7D11,PRD,CHIAPAS,11,LAS MARGARITAS,0.216078610,0.127017211,0.322201813,0.00%
E8D6,PVEM,CHIHUAHUA,6,CHIHUAHUA,0.048388043,0,0.185709543,0.00%
E15D31,RSP,MÉXICO,31,CD. NEZAHUALCOYOTL,0.041081115,0,0.192843487,0.00%
E16D11,RSP,MICHOACÁN,11,PATZCUARO,0.070758702,0,0.175845714,0.00%
E23D2,PRI,QUINTANA ROO,2,CHETUMAL,0.250671024,0.159960296,0.358759524,0.00%
E11D14,PVEM,GUANAJUATO,14,ACAMBARO,0.100832318,0.036432563,0.177569359,0.00%
E19D2,PAN,NUEVO LEÓN,2,APODACA,0.215486915,0.179560185,0.258296255,0.00%
E20D7,PVEM,OAXACA,7,CIUDAD IXTEPEC,0.094938342,0,0.275132566,0.00%
E28D5,ES,TAMAULIPAS,5,CIUDAD VICTORIA,0.074024294,0,0.183110119,0.00%
E28D9,PRI,TAMAULIPAS,9,REYNOSA,0.136348466,0,0.284083480,0.00%
E5D7,ES,COAHUILA,7,SALTILLO,0.063336132,0,0.184727768,0.00%
E15D30,MC,MÉXICO,30,CHIMALHUACAN,0.092928878,0,0.259708989,0.00%
E15D33,PRI,MÉXICO,33,CHALCO DE DIAZ COVARRUBIAS,0.204393353,0.106862794,0.320608181,0.00%
E16D4,PVEM,MICHOACÁN,4,JIQUILPAN DE JUAREZ,0.080537311,0,0.187540616,0.00%
E7D4,RSP,CHIAPAS,4,PICHUCALCO,0.047633618,0,0.209916267,0.00%
E15D25,PVEM,MÉXICO,25,CHIMALHUACAN,0.087808858,0,0.270039370,0.00%
E24D2,PVEM,SAN LUIS POTOSÍ,2,SOLEDAD DE GRACIANO SANCHEZ,0.081552238,0,0.172265458,0.00%
E27D3,PRD,TABASCO,3,COMALCALCO,0.216847509,0.074595741,0.386350946,0.00%
E12D1,RSP,GUERRERO,1,CD. ALTAMIRANO,0.055131804,0,0.193632672,0.00%
E16D2,PVEM,MICHOACÁN,2,PURUANDIRO,0.075070853,0,0.165106960,0.00%
E9D1,PRD,CIUDAD DE MÉXICO,1,GUSTAVO A. MADERO,0.234424306,0.146840568,0.338786768,0.00%
E31D2,ES,YUCATÁN,2,PROGRESO,0.032220369,0,0.126434079,0.00%
E7D10,RSP,CHIAPAS,10,VILLAFLORES,0.095961487,0,0.298628609,0.00%
E28D6,ES,TAMAULIPAS,6,CIUDAD MANTE,0.056783019,0,0.153241490,0.00%
E5D6,ES,COAHUILA,6,TORREON,0.058141679,0,0.184626337,0.00%
E11D11,PVEM,GUANAJUATO,11,LEON,0.057895013,0,0.121240935,0.00%
E30D10,PRI,VERACRUZ,10,XALAPA,0.221019990,0.125050645,0.335374519,0.00%
E19D3,PAN,NUEVO LEÓN,3,GRAL. ESCOBEDO,0.197673732,0.163306539,0.238624769,0.00%
E12D9,PVEM,GUERRERO,9,ACAPULCO,0.074862693,0,0.250592192,0.00%
E15D40,PVEM,MÉXICO,40,SAN MIGUEL ZINACANTEPEC,0.067845855,0,0.205395007,0.00%
E13D3,PVEM,HIDALGO,3,ACTOPAN,0.090620788,0,0.256960105,0.00%
E9D16,PRI,CIUDAD DE MÉXICO,16,ALVARO OBREGON,0.296079433,0.223189198,0.382933504,0.00%
E9D19,PRI,CIUDAD DE MÉXICO,19,IZTAPALAPA,0.270365780,0.187518124,0.369084851,0.00%
E7D8,PRI,CHIAPAS,8,COMITAN DE DOMINGUEZ,0.203285031,0.103670840,0.321982661,0.00%
E21D10,PAN,PUEBLA,10,CHOLULA DE RIVADAVIA,0.247431463,0.158645005,0.353227052,0.00%
E25D6,PVEM,SINALOA,6,MAZATLAN,0.071498391,0,0.231806310,0.00%
E11D7,ES,GUANAJUATO,7,SAN FRANCISCO DEL RINCON,0.045845279,0,0.104878083,0.00%
E16D11,PVEM,MICHOACÁN,11,PATZCUARO,0.079479168,0,0.169304651,0.00%
E15D21,PRI,MÉXICO,21,AMECAMECA DE JUAREZ,0.137366198,0.030857829,0.264278748,0.00%
E19D10,MC,NUEVO LEÓN,10,MONTERREY,0.130552492,0.090428153,0.178363590,0.00%
E10D1,ES,DURANGO,1,VICTORIA DE DURANGO,0.040856429,0,0.151553243,0.00%
E15D5,PRI,MÉXICO,5,TEOTIHUACAN DE ARISTA,0.154398068,0.047047114,0.282314619,0.00%
E7D12,PVEM,CHIAPAS,12,TAPACHULA,0.128577055,0,0.292027363,0.00%
E26D1,PVEM,SONORA,1,SAN LUIS RIO COLORADO,0.047150240,0,0.212746169,0.00%
E11D7,MC,GUANAJUATO,7,SAN FRANCISCO DEL RINCON,0.033792885,0,0.096573051,0.00%
E28D4,PAN,TAMAULIPAS,4,H. MATAMOROS,0.239970936,0.216913801,0.267445208,0.00%
E11D10,RSP,GUANAJUATO,10,URIANGATO,0.075879519,0,0.151885141,0.00%
E15D29,RSP,MÉXICO,29,CD. NEZAHUALCOYOTL,0.050564667,0,0.188682849,0.00%
E13D1,ES,HIDALGO,1,HUEJUTLA DE REYES,0.180384706,0.108431046,0.266122779,0.00%
E2D6,PRD,BAJA CALIFORNIA,6,TIJUANA,0.218279353,0.126941064,0.327115637,0.00%
E7D5,RSP,CHIAPAS,5,SAN CRISTOBAL DE LAS CASAS,0.055566004,0,0.240192599,0.00%
E15D20,RSP,MÉXICO,20,CD. NEZAHUALCOYOTL,0.061115173,0,0.214893422,0.00%
E7D1,RSP,CHIAPAS,1,PALENQUE,0.093644485,0,0.290345780,0.00%
E28D4,ES,TAMAULIPAS,4,H. MATAMOROS,0.057143707,0,0.161242052,0.00%
E15D23,PVEM,MÉXICO,23,LERMA DE VILLADA,0.074502797,0,0.202762275,0.00%
E15D9,ES,MÉXICO,9,SAN FELIPE DEL PROGRESO,0.056203047,0,0.153931693,0.00%
E1D3,ES,AGUASCALIENTES,3,AGUASCALIENTES,0.058734140,0,0.158700888,0.00%
E9D8,PRI,CIUDAD DE MÉXICO,8,CUAUHTEMOC,0.269426568,0.189716465,0.364407014,0.00%
E31D4,ES,YUCATÁN,4,MERIDA,0.034538587,0,0.138328169,0.00%
E12D3,MC,GUERRERO,3,ZIHUATANEJO,0.113317773,0,0.228954849,0.00%
E27D5,PRD,TABASCO,5,PARAISO,0.186374029,0.053662142,0.344509996,0.00%
E13D5,PRD,HIDALGO,5,TULA DE ALLENDE,0.258726956,0.172919944,0.360972317,0.00%
E11D5,MC,GUANAJUATO,5,LEON,0.048338568,0,0.101835382,0.00%
E1D1,ES,AGUASCALIENTES,1,JESUS MARIA,0.041856676,0,0.138106294,0.00%
E4D1,PVEM,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,0.043250153,0,0.170349131,0.00%
E19D11,ES,NUEVO LEÓN,11,GUADALUPE,0.045412577,0,0.117963946,0.00%
E11D14,PRD,GUANAJUATO,14,ACAMBARO,0.071721466,0,0.145095374,0.00%
E19D4,ES,NUEVO LEÓN,4,SAN NICOLAS DE LOS GARZA,0.058118086,0,0.129207853,0.00%
E19D7,PAN,NUEVO LEÓN,7,GARCIA,0.209875417,0.184673753,0.239905052,0.00%
E15D21,PVEM,MÉXICO,21,AMECAMECA DE JUAREZ,0.083697517,0,0.220175560,0.00%
E4D2,PVEM,CAMPECHE,2,CIUDAD DEL CARMEN,0.050854765,0,0.196291373,0.00%
E6D1,PVEM,COLIMA,1,COLIMA,0.023553472,0,0.140467454,0.00%
E30D9,PVEM,VERACRUZ,9,COATEPEC,0.045627599,0,0.168952859,0.00%
E28D2,ES,TAMAULIPAS,2,REYNOSA,0.069552458,0,0.183010475,0.00%
E30D6,PVEM,VERACRUZ,6,PAPANTLA DE OLARTE,0.072242771,0,0.188485790,0.00%
E15D32,PRD,MÉXICO,32,VALLE DE CHALCO SOLIDARIDAD,0.191428569,0.082043461,0.321768964,0.00%
E11D6,PVEM,GUANAJUATO,6,LEON,0.075788756,0.025610994,0.135579246,0.00%
E6D2,PVEM,COLIMA,2,MANZANILLO,0.083683265,0,0.202831997,0.00%
